store_name,domain,url,category,subcategory,whatsapp,whatsapp_link,email,cnpj,instagram,platform,has_whatsapp,status,scraped_at
reserva.com.br,reserva.com.br,https://reserva.com.br,Moda,Moda masculina premium,,,,,,,NÃO,offline,2026-04-07 13:44:02
Rip Curl,ripcurl.com.br,https://ripcurl.com.br/,Moda,Surf / Outdoor,,,lojavirtual@ripcurl.com.br,,@ripcurl_brasil,Shopify,NÃO,online,2026-04-07 13:44:26
salinas.com.br,salinas.com.br,https://www.salinas.com.br/pt,Moda,Moda praia,,,k@ék8çwpïí9.löì6,,,Outro,NÃO,online,2026-04-07 13:44:39
salinasswimwear.com.br,salinasswimwear.com.br,https://salinasswimwear.com.br,Moda,Moda praia feminina,,,,,,,NÃO,offline,2026-04-07 13:44:47
schutz.com.br,schutz.com.br,https://www.schutz.com.br/,Moda,Calçados femininos,,,,,,Outro,NÃO,online,2026-04-07 13:44:30
simpleorganic.com.br,simpleorganic.com.br,https://simpleorganic.com.br/,Moda,Moda sustentável,,,,,,Outro,NÃO,online,2026-04-07 13:44:47
sunnari.com.br,sunnari.com.br,https://sunnari.com.br,Moda,Moda praia,,,,,,,NÃO,offline,2026-04-07 13:44:23
"Moda Masculina: Roupas, Calçados e Acessórios",tng.com.br,https://www.tng.com.br/,Moda,Moda jovem,551146899312,https://wa.me/551146899312,sac@tng.com.br,,@tng.oficial,Outro,SIM,online,2026-04-07 13:44:36
TOULON,toulon.com.br,https://www.toulon.com.br/,Moda,Moda feminina,5527993167196,https://wa.me/5527993167196,vendas@toulon.com.br,28.518.374/0001-12,@toulonoficial,Outro,SIM,online,2026-04-07 13:44:50
Triton,triton.com.br,https://www.triton.com.br/,Moda,Moda masculina,5547991722981,https://wa.me/5547991722981,atendimento@triton.com.br,75.364.570/0007-55,@tritonoficial,Outro,SIM,online,2026-04-07 13:44:36
triya.com.br,triya.com.br,https://www.triya.com.br/,Moda,Moda praia,,,vtex.render-server@8.179.1,22.087.674/0001-08,@triya_brasil,Outro,NÃO,online,2026-04-07 13:44:04
vloog.com.br,vloog.com.br,https://vloog.com.br,Moda,Streetwear,,,,,,,NÃO,offline,2026-04-07 13:44:08
Loja de Moda Online,zattini.com.br,https://www.zattini.com.br/,Moda,Moda multi – marketplace,,,,09.339.936/0001-16,@zattinibrasil,Outro,NÃO,online,2026-04-07 13:44:56
amopet.com.br,amopet.com.br,https://amopet.com.br,Pet,Acessórios pet,,,,,,,NÃO,offline,2026-04-07 13:45:13
amorpetshop.com.br,amorpetshop.com.br,https://amorpetshop.com.br/,Pet,Acessórios pet – +35 mil pedidos,,,,,,Outro,NÃO,online,2026-04-07 13:45:00
animalshopbr.com.br,animalshopbr.com.br,https://animalshopbr.com.br,Pet,Petshop multi,,,,,,,NÃO,offline,2026-04-07 13:45:16
bichinhosfofos.com.br,bichinhosfofos.com.br,https://bichinhosfofos.com.br,Pet,Pet acessórios,,,,,,,NÃO,offline,2026-04-07 13:45:19
bichinochic.com.br,bichinochic.com.br,https://bichinochic.com.br,Pet,Pet fashion,,,,,,,NÃO,offline,2026-04-07 13:45:09
bichodecasashop.com.br,bichodecasashop.com.br,https://bichodecasashop.com.br,Pet,Acessórios pet,,,,,,,NÃO,offline,2026-04-07 13:45:13
bichodelindo.com.br,bichodelindo.com.br,https://bichodelindo.com.br,Pet,Pet fashion,,,,,,,NÃO,offline,2026-04-07 13:45:22
bichodemimos.com.br,bichodemimos.com.br,https://bichodemimos.com.br,Pet,Pet presentes,,,,,,,NÃO,offline,2026-04-07 13:45:17
bichofeliz.com.br,bichofeliz.com.br,https://ilpet.com.br,Pet,Petshop,,,,,,Outro,NÃO,online,2026-04-07 13:45:22
bitinhashop.com.br,bitinhashop.com.br,https://bitinhashop.com.br,Pet,Acessórios pet,,,,,,,NÃO,offline,2026-04-07 13:45:07
cachorraostore.com.br,cachorraostore.com.br,https://cachorraostore.com.br,Pet,Pet cachorro,,,,,,,NÃO,offline,2026-04-07 13:45:20
clubedopet.com.br,clubedopet.com.br,https://clubedopet.com.br,Pet,Assinatura / acessórios pet,,,,,,,NÃO,offline,2026-04-07 13:45:11
Cobasi: melhor e mais completa pet shop do Brasil,cobasi.com.br,https://www.cobasi.com.br/,Pet,Petshop multi – rede física + online,,,sac@cobasi.com.br,53.153.938/0016-94,@redecobasi,Outro,NÃO,online,2026-04-07 13:45:04
dogstyle.com.br,dogstyle.com.br,https://www.dogstyle.com.br/,Pet,Roupas para cães,,,,,,Outro,NÃO,online,2026-04-07 13:45:16
doguinhosshop.com.br,doguinhosshop.com.br,https://doguinhosshop.com.br,Pet,Pet cachorros,,,,,,,NÃO,offline,2026-04-07 13:45:17
dogvida.com.br,dogvida.com.br,https://dogvida.com.br,Pet,Produtos naturais pet,,,,,,,NÃO,offline,2026-04-07 13:45:11
fofinhos.com.br,fofinhos.com.br,https://fofinhos.com.br,Pet,Pet fashion,,,,,,,NÃO,offline,2026-04-07 13:45:21
fofurapetshop.com.br,fofurapetshop.com.br,https://fofurapetshop.com.br,Pet,Petshop,,,,,,,NÃO,offline,2026-04-07 13:45:19
gatinosshop.com.br,gatinosshop.com.br,https://gatinosshop.com.br,Pet,Pet gatos,,,,,,,NÃO,offline,2026-04-07 13:45:17
Petmais,lojapet.com.br,https://www.petmais.com.br/,Pet,Petshop,551134888000,https://wa.me/551134888000,,,@petmaisoficial,Outro,SIM,online,2026-04-07 13:45:21
Meuamigopet.com.br,meuamigopet.com.br,https://meuamigopet.com.br/,Pet,Pet acessórios,,,,,,Outro,NÃO,online,2026-04-07 13:45:18
Home,meupetfavorito.com.br,https://meupetfavorito.com.br/index.html,Pet,Acessórios pet,,,,,,Outro,NÃO,online,2026-04-07 13:45:10
miaudogs.com.br,miaudogs.com.br,https://miaudogs.com.br,Pet,Pet cão e gato,,,,,,,NÃO,offline,2026-04-07 13:45:15
mundoanimal.com.br,mundoanimal.com.br,https://mundoanimal.com.br,Pet,Petshop multi,,,,,,,NÃO,offline,2026-04-07 13:45:11
patinhaschic.com.br,patinhaschic.com.br,https://patinhaschic.com.br,Pet,Pet fashion,,,,,,,NÃO,offline,2026-04-07 13:45:13
patudosshop.com.br,patudosshop.com.br,https://patudosshop.com.br,Pet,Acessórios pet,,,,,,,NÃO,offline,2026-04-07 13:45:09
PetAki,petaki.com.br,https://petaki.com.br/,Pet,Pet fashion,5582999961035,https://wa.me/5582999961035,,,,Outro,SIM,online,2026-04-07 13:45:10
petboxbr.com.br,petboxbr.com.br,https://petboxbr.com.br,Pet,Assinatura pet,,,,,,,NÃO,offline,2026-04-07 13:45:11
petcarinhoshop.com.br,petcarinhoshop.com.br,https://petcarinhoshop.com.br,Pet,Acessórios pet,,,,,,,NÃO,offline,2026-04-07 13:45:16
petcasa.com.br,petcasa.com.br,https://petcasa.com.br,Pet,Pet multi,,,,,,,NÃO,offline,2026-04-07 13:45:19
petclickstore.com.br,petclickstore.com.br,https://petclickstore.com.br,Pet,Pet e-commerce,,,,,,,NÃO,offline,2026-04-07 13:45:18
petcomamor.com.br,petcomamor.com.br,https://petcomamor.com.br,Pet,Pet acessórios,,,,,,,NÃO,offline,2026-04-07 13:45:19
petestilo.com.br,petestilo.com.br,https://petestilo.com.br,Pet,Moda pet,,,,,,,NÃO,offline,2026-04-07 13:45:07
petfancybr.com.br,petfancybr.com.br,https://petfancybr.com.br,Pet,Pet fashion,,,,,,,NÃO,offline,2026-04-07 13:45:09
petfeliz.com.br,petfeliz.com.br,https://petfeliz.com.br,Pet,Petshop,,,,,,,NÃO,offline,2026-04-07 13:45:21
petfriendsbr.com.br,petfriendsbr.com.br,https://petfriendsbr.com.br,Pet,Pet accessories,,,,,,,NÃO,offline,2026-04-07 13:45:15
petglamourbr.com.br,petglamourbr.com.br,https://petglamourbr.com.br,Pet,Pet luxo,,,,,,,NÃO,offline,2026-04-07 13:45:17
petgourmetbr.com.br,petgourmetbr.com.br,https://petgourmetbr.com.br,Pet,Alimentação natural pet,,,,,,,NÃO,offline,2026-04-07 13:45:11
petinhochic.com.br,petinhochic.com.br,https://petinhochic.com.br,Pet,Pet fashion,,,,,,,NÃO,offline,2026-04-07 13:45:18
petlove.com.br,petlove.com.br,https://petlove.com.br,Pet,Maior petshop online BR,,,,,,,NÃO,offline,2026-04-07 13:45:03
PETLUX,petlux.com.br,https://petlux.com.br/,Pet,Pet luxo,,,contato@lavluxor.com.br,,,Outro,NÃO,online,2026-04-07 13:45:12
petmodern.com.br,petmodern.com.br,https://petmodern.com.br,Pet,Pet design,,,,,,,NÃO,offline,2026-04-07 13:45:13
petnatura.com.br,petnatura.com.br,https://petnatura.com.br,Pet,Produtos naturais pet,,,,,,,NÃO,offline,2026-04-07 13:45:20
petshopchique.com.br,petshopchique.com.br,https://petshopchique.com.br,Pet,Pet fashion,,,,,,,NÃO,offline,2026-04-07 13:45:22
petz.com.br,petz.com.br,https://petz.com.br,Pet,Petshop multi – capital aberta,,,,,,,NÃO,offline,2026-04-07 13:45:07
popularpet.com.br,popularpet.com.br,https://popularpet.com.br/,Pet,Petshop multi – SJC/SP,,,,,,Outro,NÃO,online,2026-04-07 13:45:00
quintalanimal.com.br,quintalanimal.com.br,https://quintalanimal.com.br,Pet,Pet natural,,,,,,,NÃO,offline,2026-04-07 13:45:15
superpetbr.com.br,superpetbr.com.br,https://superpetbr.com.br,Pet,Petshop multi,,,,,,,NÃO,offline,2026-04-07 13:45:13
tudodebicho.com.br,tudodebicho.com.br,https://www.tudodebicho.com.br/,Pet,Petshop online – desde 2016,,,,,,Outro,NÃO,online,2026-04-07 13:44:57
vidapetshop.com.br,vidapetshop.com.br,https://vidapetshop.com.br,Pet,Pet saúde e bem-estar,,,,,,,NÃO,offline,2026-04-07 13:45:15
atelierjoias.com.br,atelierjoias.com.br,https://atelierjoias.com.br,Semi-Joias,Joias autorais,,,,,,,NÃO,offline,2026-04-07 13:44:00
BijouxNet,bijouxnet.com.br,https://www.bijouxnet.com.br/,Semi-Joias,Bijoux e semijoias – SP/Jardins,5511932539704,https://wa.me/5511932539704,contato@bijouxnet.com.br,18.328.230/0001-40,@bijouxnet,Outro,SIM,online,2026-04-07 13:43:46
bijouxpremium.com.br,bijouxpremium.com.br,https://bijouxpremium.com.br,Semi-Joias,Bijoux premium,,,,,,,NÃO,offline,2026-04-07 13:43:58
bijouxstore.com.br,bijouxstore.com.br,https://bijouxstore.com.br,Semi-Joias,Bijoux,,,,,,,NÃO,offline,2026-04-07 13:43:53
brasiljoias.com.br,brasiljoias.com.br,https://brasiljoias.com.br,Semi-Joias,Semijoias,,,,,,,NÃO,offline,2026-04-07 13:44:00
brilhojoias.com.br,brilhojoias.com.br,https://brilhojoias.com.br,Semi-Joias,Semijoias,,,,,,,NÃO,offline,2026-04-07 13:44:00
carolbjoias.com.br,carolbjoias.com.br,https://carolbjoias.com.br,Semi-Joias,Semijoias finas,,,,,,,NÃO,offline,2026-04-07 13:43:55
Chicasemijoias,chicasemijoias.com.br,https://www.chicasemijoias.com.br/,Semi-Joias,Semijoias femininas,5519993434078,https://wa.me/5519993434078,chicasemijoias21@gmail.com,43.540.499/0001-32,@chicasemijoias2021,Outro,SIM,online,2026-04-07 13:43:43
Deitos Joias,deitosjoias.com.br,https://www.deitosjoias.com.br/,Semi-Joias,Semijoias folheadas ouro 18k / Prata / Aço Inox,5554996687993,https://wa.me/5554996687993,deitosjoias@gmail.com,,@deitosjoiass,Outro,SIM,online,2026-04-07 13:43:43
delicatejoias.com.br,delicatejoias.com.br,https://delicatejoias.com.br,Semi-Joias,Joias delicadas,,,,,,,NÃO,offline,2026-04-07 13:43:50
divinajoias.com.br,divinajoias.com.br,https://divinajoias.com.br/,Semi-Joias,Semijoias,,,,,,Outro,NÃO,online,2026-04-07 13:43:57
ellajoias.com.br,ellajoias.com.br,https://www.ellajoias.com.br/,Semi-Joias,Semijoias,,,,,,Outro,NÃO,online,2026-04-07 13:43:50
flashjoias.com.br,flashjoias.com.br,https://flashjoias.com.br,Semi-Joias,Semijoias,,,,,,,NÃO,offline,2026-04-07 13:43:50
foreverjoias.com.br,foreverjoias.com.br,https://www.foreverjewels.com.br/,Semi-Joias,Semijoias,,,,,,Outro,NÃO,online,2026-04-07 13:43:56
Francisca Joias,franciscajoias.com.br,https://www.franciscajoias.com.br/,Semi-Joias,Maior e-commerce semijoias BR,5519999240823,https://wa.me/5519999240823,sac@franciscajoias.com.br,47.691.119/0001-11,@franciscajoias,Outro,SIM,online,2026-04-07 13:43:43
franjoias.com.br,franjoias.com.br,https://franjoias.com.br,Semi-Joias,Semijoias,,,,,,,NÃO,offline,2026-04-07 13:43:52
joia10.com.br,joia10.com.br,https://joia10.com.br,Semi-Joias,Semijoias folheadas,,,,,,,NÃO,offline,2026-04-07 13:43:52
joiasdelicadas.com.br,joiasdelicadas.com.br,https://joiasdelicadas.com.br,Semi-Joias,Joias delicadas,,,,,,,NÃO,offline,2026-04-07 13:43:59
joiasrenata.com.br,joiasrenata.com.br,https://joiasrenata.com.br,Semi-Joias,Semijoias,,,,,,,NÃO,offline,2026-04-07 13:43:48
JULIA SIMÕES SEMIJOIAS,juliasimoessemijoias.com.br,https://www.juliasimoessemijoias.com.br/,Semi-Joias,Semijoias finas – BH/MG,5531971784821,https://wa.me/5531971784821,juliasimoessemijoias@gmail.com,,@juliasimoes_semijoias,Outro,SIM,online,2026-04-07 13:43:45
krisnajoias.com.br,krisnajoias.com.br,https://krisnajoias.com.br,Semi-Joias,Semijoias,,,,,,,NÃO,offline,2026-04-07 13:43:58
lacejoias.com.br,lacejoias.com.br,https://lacejoias.com.br,Semi-Joias,Semijoias,,,,,,,NÃO,offline,2026-04-07 13:43:56
laramagnani.com.br,laramagnani.com.br,https://laramagnani.com.br,Semi-Joias,Joias autorais,,,,,,,NÃO,offline,2026-04-07 13:43:48
luaraq.com.br,luaraq.com.br,https://luaraq.com.br,Semi-Joias,Joias moedas antigas personalizadas,,,,,,,NÃO,offline,2026-04-07 13:43:48
luxojoias.com.br,luxojoias.com.br,https://luxojoias.com.br,Semi-Joias,Semijoias,,,,,,,NÃO,offline,2026-04-07 13:43:57
maionjewelry.com.br,maionjewelry.com.br,https://maionjewelry.com.br,Semi-Joias,Semijoias,,,,,,,NÃO,offline,2026-04-07 13:43:55
milanjoias.com.br,milanjoias.com.br,https://milanjoias.com.br,Semi-Joias,Semijoias,,,,,,,NÃO,offline,2026-04-07 13:43:58
minijoia.com.br,minijoia.com.br,https://minijoia.com.br,Semi-Joias,Mini joias,,,,,,,NÃO,offline,2026-04-07 13:43:52
missysemijoias.com.br,missysemijoias.com.br,https://missysemijoias.com.br,Semi-Joias,Semijoias finas folheadas,,,,,,,NÃO,offline,2026-04-07 13:43:43
Munrá Semijoias,munrasemijoias.com.br,https://munrasemijoias.com.br/,Semi-Joias,Semijoias revenda / franquia,5519998998421,https://wa.me/5519998998421,munra.site@gmail.com,,@munrasemijoias,Outro,SIM,online,2026-04-07 13:43:45
mystoresemijoias.com.br,mystoresemijoias.com.br,https://mystoresemijoias.com.br,Semi-Joias,Acessórios de luxo,,,,,,,NÃO,offline,2026-04-07 13:43:43
nanajewelry.com.br,nanajewelry.com.br,https://nanajewelry.com.br,Semi-Joias,Semijoias,,,,,,,NÃO,offline,2026-04-07 13:43:48
natalijewelry.com.br,natalijewelry.com.br,https://natalijewelry.com.br,Semi-Joias,Semijoias,,,,,,,NÃO,offline,2026-04-07 13:43:54
ourojoias.com.br,ourojoias.com.br,https://ourojoias.com.br,Semi-Joias,Semijoias,,,,,,,NÃO,offline,2026-04-07 13:43:59
patagrejoias.com.br,patagrejoias.com.br,https://patagrejoias.com.br,Semi-Joias,Joias artesanais,,,,,,,NÃO,offline,2026-04-07 13:43:57
perolajoias.com.br,perolajoias.com.br,https://www.perolajoias.com.br/,Semi-Joias,Pérolas e semijoias,,,,,,Outro,NÃO,online,2026-04-07 13:43:52
pratafino.com.br,pratafino.com.br,https://pratafino.com.br,Semi-Joias,Prata 925,,,,,,,NÃO,offline,2026-04-07 13:43:55
Rommanel,rommanel.com.br,https://www.rommanel.com.br/,Semi-Joias,Semijoias folheadas – revenda,5511971483889,https://wa.me/5511971483889,vtex.render-server@8.179.1,,@rommanel,Outro,SIM,online,2026-04-07 13:43:45
Semijoias da Rô,semijoiasdaro.com.br,https://semijoiasdaro.com.br/,Semi-Joias,Semijoias nacionais e importadas,5567992276308,https://wa.me/5567992276308,contato@semijoiasdaro.com.br,,@semijoiasdarotls,Outro,SIM,online,2026-04-07 13:43:43
Semi Jóias GC,semijoiasgc.com.br,https://www.semijoiasgc.com.br/,Semi-Joias,Semijoias atacado e varejo,5511916971685,https://wa.me/5511916971685,contato@semijoiasgc.com.br,05.364.800/0001-05,@goldenclasssemijoias,Outro,SIM,online,2026-04-07 13:43:43
sethstore.com.br,sethstore.com.br,https://www.sethstore.com.br/,Semi-Joias,Joias e alianças – Shopify – BH,,,,,,Outro,NÃO,online,2026-04-07 13:43:46
sorijoias.com.br,sorijoias.com.br,https://sorijoias.com.br,Semi-Joias,Semijoias,,,,,,,NÃO,offline,2026-04-07 13:43:50
tassianaves.com.br,tassianaves.com.br,https://tassianaves.com.br,Semi-Joias,Joias autorais – Brasília/DF,,,,,,,NÃO,offline,2026-04-07 13:43:56
Terumy Acessórios,terumyacessorios.com.br,https://www.terumyacessorios.com.br/,Semi-Joias,Acessórios e semijoias – SP,5511943601710,https://wa.me/5511943601710,contato@terumyacessorios.com.br,11.123.822/0001-86,@terumyacessorios,Outro,SIM,online,2026-04-07 13:43:48
tiarajewelry.com.br,tiarajewelry.com.br,https://tiarajewelry.com.br,Semi-Joias,Semijoias,,,,,,,NÃO,offline,2026-04-07 13:43:54
todajoia.com.br,todajoia.com.br,https://todajoia.com.br,Semi-Joias,Semijoias,,,,,,,NÃO,offline,2026-04-07 13:43:56
trieacessorios.com.br,trieacessorios.com.br,https://trieacessorios.com.br,Semi-Joias,Semijoias e acessórios,,,,,,,NÃO,offline,2026-04-07 13:43:46
uhlalasemijoias.com.br,uhlalasemijoias.com.br,https://uhlalasemijoias.com.br/,Semi-Joias,Semijoias prata 925 e ouro 18k,,,,,,Outro,NÃO,online,2026-04-07 13:43:43
Vertti,vertti.com.br,https://vertti.com.br/,Semi-Joias,Semijoias luxo,554432262206,https://wa.me/554432262206,bootstrap@5.0.2,,@vertti.tecnologia,Outro,SIM,online,2026-04-07 13:43:48
Home,villasemijoias.com.br,https://villasemijoias.com.br/,Semi-Joias,Semijoias – Brasília/DF,5561995923815,https://wa.me/5561995923815,shadow@2x.png,11260230/0001-04,@villasemijoias_,Outro,SIM,online,2026-04-07 13:43:45
